Page	Section	Component	Property	Current Color	Current Hex	Real UI Color Name	Real UI Hex	Status	Visible On (tabs)
Transactions	Breadcrumb	Active page text (Home)	Text color	color: rgb(62, 63, 60)	#3E3F3C	real-grey-900	#3D3C3C	Mapped to closest	
Transactions	Breadcrumb	Chevron separator	Icon color	fill: rgb(161, 161, 170)	#A1A1AA	slate-400	#94A3B8	Mapped to closest	
Transactions	Breadcrumb	Inactive link text (My Transactions)	Text color	color: rgb(161, 161, 170)	#A1A1AA	slate-400	#94A3B8	Mapped to closest	
Transactions	Global Search	Input background	Background color	background-color: rgb(255, 255, 255)	#FFFFFF	white	#FFFFFF	100% Match	
Transactions	Global Search	Input border	Border color	border-color: rgb(210, 213, 219)	#D2D5DB	real-grey-200	#D1D0D0	Mapped to closest	
Transactions	Global Search	Search icon	Icon color	fill: rgb(59, 130, 246)	#3B82F6	real-blue-500	#4967FD	Mapped to closest	
Transactions	Page Header > Filters Button	Filters button background	Background color	background-color: rgb(255, 255, 255)	#FFFFFF	white	#FFFFFF	100% Match	
Transactions	Page Header > Filters Button	Filters button text	Text color	color: rgb(97, 91, 86)	#615B56	real-grey-600	#5D5D5D	Mapped to closest	
Transactions	Page Header > Filters Button	Filters button border	Border color	border-color: rgb(218, 218, 218)	#DADADA	real-grey-200	#D1D0D0	Mapped to closest	
Transactions	Page Header > Filters Button	Filters button icon	Icon color	fill: rgb(97, 91, 86)	#615B56	real-grey-600	#5D5D5D	Mapped to closest	
Transactions	Page Header > View Toggle	Active view toggle background	Background color	background-color: rgba(59, 130, 246, 0.1); (alpha)	#3B82F6/10%	real-blue-500/10%	#4967FD/10%	Mapped to closest	
Transactions	Page Header > View Toggle	Active view toggle icon	Icon color	fill: rgb(59, 130, 246)	#3B82F6	real-blue-500	#4967FD	Mapped to closest	
Transactions	Page Header > View Toggle	Inactive view toggle icon	Icon color	fill: rgb(29, 29, 29)	#1D1D1D	real-black	#1D1D1D	100% Match	
Transactions	Page Header > View Toggle	Divider pipe	Text color	color: rgb(218, 218, 218)	#DADADA	real-grey-200	#D1D0D0	Mapped to closest	
